tw.gui.crashMessage.description,Message to inform the user that page has crashed.,"Ci dispiace, sembra che TurboWarp sia andato in crash. Aggiorna la pagina per riprovare."
tw.loadingMessage,Default loading message,Caricamento progetto …
tw.menuBar.60off,Menu bar item for turning off 60 FPS mode,Disabilita modalità 60 FPS
tw.menuBar.60on,Menu bar item for turning on 60 FPS mode,Abilita modalità 60 FPS
tw.menuBar.changeUsername,Menu bar item for changing the username,Cambia Username
tw.menuBar.cloudOff,Menu bar item for disabling cloud variables,Disabilita Variabili Cloud
tw.menuBar.cloudOn,Menu bar item for enabling cloud variables,Abilita Variabili Cloud
tw.menuBar.cloudUnavailable,Menu bar item for when cloud variables are not available,Le Variabili Cloud non sono Disponibili
tw.menuBar.advanced,Text for advanced settings dropdown menu,Impostazioni Avanzate
tw.menuBar.hqpOff,Menu bar item for turning off high quality pen,Disabilita Penna Alta Qualità
tw.menuBar.hqpOn,Menu bar item for turning on high quality pen,Abilita Penna Alta Qualità
tw.menuBar.compilerOff,Menu bar item for disabling the compiler,Disabilita Compilatore
tw.menuBar.compilerOn,Menu bar item for enabling the compiler,Abilita Compilatore
tw.menuBar.warpTimerOff,Menu bar item for turning off Warp Timer,Disabilita Timer Warp (Stuck Checking)
tw.menuBar.warpTimerOn,Menu bar item for turning on Warp Timer,Abilita Timer Warp (Stuck Checking)
tw.menuBar.help,Text for TurboWarp Help dropdown menu,Aiuto
tw.menuBar.code,Menu bar item for source code link,Codice Sorgente
tw.menuBar.feedback,Menu bar item for feedback link,Feedback & Bug
tw.menuBar.privacy,Menu bar item for privacy policy link,Privacy
tw.menuBar.embed,Menu bar item for embedding link,Inclusione
tw.menuBar.parameters,Menu bar item for URL parameters link,Parametri URL
tw.giveFeedback,Text for the giving feedback button,Dai il tuo Feedback
tw.unsavedChanges,Title bar link indicating unsaved changes,Modifiche Non Salvate
tw.menuBar.seeInside,Label for see inside button,Guarda dentro
tw.home.instructions,Header for instructions section of description,Istruzioni
tw.home.credit,Header for notes and credits section of description,Note e Crediti
tw.viewFeaturedProjects,Text to view featured projects,Clicca per vedere progetti in primo piano.
tw.featuredProjectsStudio,Link to turbowarp featured projects studio,Vai alla galleria su Scratch.
tw.framerateIndicator,Label indicating project framerate,{framerate} FPS
tw.alerts.warning,Message warning user of potential data loss.,Abilita il Timer Warp o disabilita il compilatore (nel menu Impostazioni avanzate) mentre crei un progetto per evitare la possibile perdita di dati. Nota inoltre che gli script devono essere riavviati perché le modifiche siano applicate.
tw.gui.defaultProjectTitle,Default title for project,Progetto
tw.home.description,Description of TurboWarp,TurboWarp è una modifica di Scratch che compila i progetti in JavaScript per renderli molto più veloci. Provalo inserendo qui sopra un ID di un progetto o una URL o scegliendo uno dei progetti in primo piano che trovi qui sotto.
tw.footer.disclaimer,Disclaimer that TurboWarp is not connected to Scratch and licensing information,"I progetti del sito Scratch sono coperte da licenza Creative Commons Attribution-ShareAlike 2.0. TurboWarp non è affiliato con Scratch, lo Scratch Team o la Scratch Foundation."
tw.footer.host,Host credit,L'hosting per TurboWarp è fornito da {fosshost}.
tw.footer.host.fosshost,Link to fosshost.org,fosshost.org
tw.footer.source,Link to footer to source code,Codice Sorgente
tw.footer.feedback,Link in footer to give feedback,Feedback & Bug
tw.footer.privacy,Link in footer to privacy policy,Privacy
tw.loader.generic,Initial generic loading message,Loading project …
tw.loader.data,Appears when loading project data,Loading project data …
tw.loader.assets.known,Appears when loading project assets and amount of assets is known,Loading assets ({complete}/{total}) …
tw.loader.assets.unknown,Appears when loading project assets but amount of assets is unknown,Loading assets …
tw.menuBar.advancedHelp,Menu bar item for advanced settings help,Advanced Settings Help
tw.menuBar.translate,Menu bar item for translating TurboWarp link,Help Translate TurboWarp
tw.examples.view,Text to view example projects,Click to view example projects.
tw.examples.studioLink,Link to turbowarp examples studio,View studio on Scratch.
tw.studioview.authorAttribution,Displayed in StudioView under project title to credit creator,by {author}
tw.studioview.hoverText,Displayed in StudioView when hovering on a project,{title} by {author}
tw.studioview.error,Displayed in StudioView when an error occurs,There was an error loading the next page of projects.
tw.usernamePrompt,Warning that appears when connecting to cloud variable server if the username is invalid,"Can't connect to cloud variables because username is invalid. You can change it in Edit > Change Username.

It might be too long, contain invalid characters, or be used by someone else. (Current username: {username})"